startTime,endTime,type,subtype,source,assetExternalIds,source,sourceId,WORKORDER_DESC,WORKORDER_TITLE,MODPROJECT_TITLE,PMPROGRAM_NUMBER,WORKORDER_NUMBER,WORKORDER_STATUS,WORKPACKAGE_NAME,MODPROJECT_NUMBER,WORKORDER_DUEDATE,WORKORDER_COSTCODE,WORKORDER_ISACTIVE,WORKPACKAGE_NUMBER,WORKORDER_STATUSDESC,WORKORDER_CREATEDDATE,WORKORDER_ITEMSYSTEMS,WORKORDER_PLANNEDSTART,WORKORDER_PRIORITYDESC,WORKORDER_SHUTDOWNDESC,WORKORDER_DURATIONHOURS,WORKORDER_INTERVALVALUE,WORKORDER_TYPEANDMETHOD,WORKORDER_COMPLETIONDATE,WORKORDER_MAITENANCETYPE,WORKORDER_SCHEDULEDSTART,WORKORDER_SUMACTUALHOURS,WORKORDER_DESTINATIONAREA,WORKORDER_FAILUREMODECODE,WORKORDER_FAILUREMODENAME,WORKORDER_NOOFREPAIRITEMS,WORKORDER_TISLOCATIONCODE,WORKORDER_TISLOCATIONNAME,WORKORDER_HASCHECKLISTITEM,WORKORDER_INTERVALTYPECODE,WORKORDER_INTERVALTYPENAME,WORKORDER_INTERVALTYPEUNIT,WORKORDER_ISSAFETYCRITICAL,WORKORDER_MAITENANCEMETHOD,WORKORDER_OBSERVMETHODCODE,WORKORDER_OBSERVMETHODNAME,WORKORDER_STATUSACTIVEFLAG,WORKORDER_SUMESTIMATEHOURS,WORKORDER_ITEMINVOLVEDAREAS,WORKORDER_REQMATERIALSTATUS,WORKORDER_STATUSISCANCELLED,WORKORDER_STATUSISCOMPLETED,WORKORDER_STATUSLASTCHANGED,WORKORDER_SUMREMAININGHOURS,WORKORDER_LEADDISCIPLINEDESC,WORKORDER_PERCENTAGEPROGRESS,WORKORDER_CONDITIONBEFORECODE,WORKORDER_CONDITIONBEFORENAME,WORKORDER_GENERATEDBYPMPROGRAM,WORKORDER_HASSAFETYCRITCALPROC,WORKORDER_RETURNMATERIALSTATUS
1240927314000,1252177283000.0,Workorder,VAL,akerbp-cdp,WMT:VAL,akerbp-cdp,4731927847896965,"INSTALLASJON - H05 SPOOL ***,***-***-***-*** MC: ***-***","***-INSTALLASJON - H05 SPOOL ***,***-***-***-*** MC: ***","INSTALLATION OF THE VRD BROWNFIELD MODIFICATIONS TO DP,PCP,WP,IP",,MAO-011256,600,,AFA-003650,,,NO,,Avsluttet,2009-04-28T14:01:54,,2009-06-26T00:00:00,Ikke kritisk (utføres sammen med planlagt vedlikehold),Utstyrs nedstenging,0,,MOD - Corrective,2009-09-05T19:01:23,MOD,,,"VALHALL WP, OTL-M",,,0,VAL,Valhall plattform,NO,,,,NO,COR,,,NOTACTIVE,16,"VAL,B00",No need,NO,YES,2009-09-05T19:01:23,0,Prosjekt,100,,,NO,NO,No need
1240927530000,1255886166000.0,Workorder,VAL,akerbp-cdp,WMT:VAL,akerbp-cdp,2160017367181188,INSTALLASJON - H05 SPOOL ***-SU-***-*** MC: ***-***,***-INSTALLASJON - H05 SPOOL ***-SU-***-*** MC: ***,"INSTALLATION OF THE VRD BROWNFIELD MODIFICATIONS TO DP,PCP,WP,IP",,MAO-011257,600,,AFA-003650,,,NO,,Avsluttet,2009-04-28T14:05:30,,2009-06-26T00:00:00,Ikke kritisk (utføres sammen med planlagt vedlikehold),Utstyrs nedstenging,0,,MOD - Corrective,2009-10-18T17:16:06,MOD,,,"VALHALL WP, OTL-M",,,0,VAL,Valhall plattform,NO,,,,NO,COR,,,NOTACTIVE,15,"VAL,B00",No need,NO,YES,2009-10-18T17:16:05,0,Prosjekt,100,,,NO,NO,No need
1240927535000,1264183671000.0,Workorder,VAL,akerbp-cdp,WMT:VAL,akerbp-cdp,5679048290542274,INSTALLASJON - H05 SPOOL ***-GI-***-*** MC: ***-***,***-INSTALLASJON - H05 SPOOL ***-GI-***-*** MC: ***,"INSTALLATION OF THE VRD BROWNFIELD MODIFICATIONS TO DP,PCP,WP,IP",,MAO-011258,600,,AFA-003650,,,NO,,Avsluttet,2009-04-28T14:05:35,,2009-06-26T00:00:00,Ikke kritisk (utføres sammen med planlagt vedlikehold),Utstyrs nedstenging,0,,MOD - Corrective,2010-01-22T18:07:51,MOD,,,"VALHALL WP, OTL-M",,,0,VAL,Valhall plattform,NO,,,,NO,COR,,,NOTACTIVE,12,"VAL,B00",No need,NO,YES,2010-01-22T18:07:51,0,Prosjekt,100,,,NO,NO,No need
1240927719000,1264182745000.0,Workorder,VAL,akerbp-cdp,WMT:VAL,akerbp-cdp,8246407380713680,INSTALLASJON - H05 SPOOL ***-***-***-*** MC: ***-***, ,"INSTALLATION OF THE VRD BROWNFIELD MODIFICATIONS TO DP,PCP,WP,IP",,MAO-011259,600,,AFA-003650,,,NO,,Avsluttet,2009-04-28T14:08:39,,2009-06-26T00:00:00,Ikke kritisk (utføres sammen med planlagt vedlikehold),Utstyrs nedstenging,0,,MOD - Corrective,2010-01-22T17:52:25,MOD,,,"VALHALL WP, OTL-M",,,0,VAL,Valhall plattform,NO,,,,NO,COR,,,NOTACTIVE,12,"VAL,B00",No need,NO,YES,2010-01-22T17:52:25,0,Prosjekt,100,,,NO,NO,No need
1240927722000,1260605939000.0,Workorder,VAL,akerbp-cdp,WMT:VAL,akerbp-cdp,6378166737519389,INSTALLASJON - H05 SPOOL ***-***-***-*** MC: ***-***,***-INSTALLASJON - H05 SPOOL ***-***-***-*** MC: ***,"INSTALLATION OF THE VRD BROWNFIELD MODIFICATIONS TO DP,PCP,WP,IP",,MAO-011260,600,,AFA-003650,,,NO,,Avsluttet,2009-04-28T14:08:42,,2009-06-26T00:00:00,Ikke kritisk (utføres sammen med planlagt vedlikehold),Utstyrs nedstenging,0,,MOD - Corrective,2009-12-12T08:18:59,MOD,,,"VALHALL WP, OTL-M",,,0,VAL,Valhall plattform,NO,,,,NO,COR,,,NOTACTIVE,22,"VAL,B00",No need,NO,YES,2009-12-12T08:18:58,0,Prosjekt,100,,,NO,NO,No need
1240928086000,1261170526000.0,Workorder,VAL,akerbp-cdp,WMT:VAL,akerbp-cdp,5375015553371097,INSTALLASJON - H05 SPOOL ***-OF-***-*** MC: ***-***,***-INSTALLASJON - H05 SPOOL ***-OF-***-*** MC: ***,"INSTALLATION OF THE VRD BROWNFIELD MODIFICATIONS TO DP,PCP,WP,IP",,MAO-011261,600,,AFA-003650,,,NO,,Avsluttet,2009-04-28T14:14:46,,2009-06-26T00:00:00,Ikke kritisk (utføres sammen med planlagt vedlikehold),Utstyrs nedstenging,0,,MOD - Corrective,2009-12-18T21:08:46,MOD,,,"VALHALL WP, OTL-M",,,0,VAL,Valhall plattform,NO,,,,NO,COR,,,NOTACTIVE,21,"VAL,B00",No need,NO,YES,2009-12-18T21:08:46,0,Prosjekt,100,,,NO,NO,No need
1240928092000,1436349657000.0,Workorder,VAL,akerbp-cdp,WMT:VAL,akerbp-cdp,476192621633089,INSTALLASJON - H05 SPOOL ***-***-***-*** MC: ***-***,***-INSTALLASJON - H05 SPOOL ***-***-***-*** MC: ***,"INSTALLATION OF THE VRD BROWNFIELD MODIFICATIONS TO DP,PCP,WP,IP",,MAO-011262,600,,AFA-003650,,,NO,,Avsluttet,2009-04-28T14:14:52,,2009-06-26T00:00:00,Ikke kritisk (utføres sammen med planlagt vedlikehold),Utstyrs nedstenging,0,,MOD - Corrective,2015-07-08T10:00:57,MOD,,,"VALHALL WP, OTL-M",,,0,VAL,Valhall plattform,NO,,,,NO,COR,,,NOTACTIVE,39,"VAL,B00",No need,NO,YES,2015-07-08T10:00:57,39,Prosjekt,0,,,NO,NO,No need
1240928279000,1260182298000.0,Workorder,VAL,akerbp-cdp,WMT:VAL,akerbp-cdp,3087943144622000,INSTALLASJON - H05 SPOOL ***-VF-***-*** MC: ***-***,***-INSTALLASJON - H05 SPOOL ***-VF-***-*** MC: ***,"INSTALLATION OF THE VRD BROWNFIELD MODIFICATIONS TO DP,PCP,WP,IP",,MAO-011263,600,,AFA-003650,,,NO,,Avsluttet,2009-04-28T14:17:59,,2009-06-26T00:00:00,Ikke kritisk (utføres sammen med planlagt vedlikehold),Utstyrs nedstenging,0,,MOD - Corrective,2009-12-07T10:38:18,MOD,,,"VALHALL WP, OTL-M",,,0,VAL,Valhall plattform,NO,,,,NO,COR,,,NOTACTIVE,19,"VAL,B00",No need,NO,YES,2009-12-07T10:38:18,0,Prosjekt,100,,,NO,NO,No need
1240928575000,1436346870000.0,Workorder,VAL,akerbp-cdp,WMT:VAL,akerbp-cdp,7257144323256770,INSTALLASJON - H05 SPOOL ***-WP-***-*** MC: ***-***,***-INSTALLASJON - H05 SPOOL ***-WP-***-*** MC: ***,"INSTALLATION OF THE VRD BROWNFIELD MODIFICATIONS TO DP,PCP,WP,IP",,MAO-011265,600,,AFA-003650,,,NO,,Avsluttet,2009-04-28T14:22:55,,2009-06-26T00:00:00,Ikke kritisk (utføres sammen med planlagt vedlikehold),Utstyrs nedstenging,0,,MOD - Corrective,2015-07-08T09:14:30,MOD,,,"VALHALL WP, OTL-M",,,0,VAL,Valhall plattform,NO,,,,NO,COR,,,NOTACTIVE,12,"VAL,B00",No need,NO,YES,2015-07-08T09:14:30,12,Prosjekt,0,,,NO,NO,No need
1240928578000,1256849104000.0,Workorder,VAL,akerbp-cdp,WMT:VAL,akerbp-cdp,2586176116980277,INSTALLASJON - H05 SPOOL ***-VF-***-*** MC: ***-***,***-INSTALLASJON - H05 SPOOL ***-VF-***-*** MC: ***,"INSTALLATION OF THE VRD BROWNFIELD MODIFICATIONS TO DP,PCP,WP,IP",,MAO-011266,600,,AFA-003650,,,NO,,Avsluttet,2009-04-28T14:22:58,,2009-06-26T00:00:00,Ikke kritisk (utføres sammen med planlagt vedlikehold),Utstyrs nedstenging,0,,MOD - Corrective,2009-10-29T20:45:04,MOD,,,"VALHALL WP, OTL-M",,,0,VAL,Valhall plattform,NO,,,,NO,COR,,,NOTACTIVE,24,"VAL,B00",No need,NO,YES,2009-10-29T20:45:04,0,Prosjekt,100,,,NO,NO,No need
1240928582000,1436356334000.0,Workorder,VAL,akerbp-cdp,WMT:VAL,akerbp-cdp,3904591606669370,INSTALLASJON - H05 SPOOL ***-***-***-*** MC: ***-***,***-INSTALLASJON - H05 SPOOL ***-***-***-*** MC: ***,"INSTALLATION OF THE VRD BROWNFIELD MODIFICATIONS TO DP,PCP,WP,IP",,MAO-011267,600,,AFA-003650,,,NO,,Avsluttet,2009-04-28T14:23:02,,2009-06-26T00:00:00,Ikke kritisk (utføres sammen med planlagt vedlikehold),Utstyrs nedstenging,0,,MOD - Corrective,2015-07-08T11:52:14,MOD,,,"VALHALL WP, OTL-M",,,0,VAL,Valhall plattform,NO,,,,NO,COR,,,NOTACTIVE,18,"VAL,B00",No need,NO,YES,2015-07-08T11:52:14,18,Prosjekt,0,,,NO,NO,No need
1240928807000,1260605904000.0,Workorder,VAL,akerbp-cdp,WMT:VAL,akerbp-cdp,1782935462508303,INSTALLASJON - H05 SPOOL ***-PT-***-*** MC: ***-***,***-INSTALLASJON - H05 SPOOL ***-PT-***-*** MC: ***,"INSTALLATION OF THE VRD BROWNFIELD MODIFICATIONS TO DP,PCP,WP,IP",,MAO-011268,600,,AFA-003650,,,NO,,Avsluttet,2009-04-28T14:26:47,,2009-06-26T00:00:00,Ikke kritisk (utføres sammen med planlagt vedlikehold),Utstyrs nedstenging,0,,MOD - Corrective,2009-12-12T08:18:24,MOD,,,"VALHALL WP, OTL-M",,,0,VAL,Valhall plattform,NO,,,,NO,COR,,,NOTACTIVE,35,"VAL,B00",No need,NO,YES,2009-12-12T08:18:24,0,Prosjekt,100,,,NO,NO,No need
1240928814000,1265469248000.0,Workorder,VAL,akerbp-cdp,WMT:VAL,akerbp-cdp,2414321865109457,INSTALLASJON - H05 SPOOL ***-***-***-*** MC: ***-***,***-INSTALLASJON - H05 SPOOL ***-***-***-*** MC: ***,"INSTALLATION OF THE VRD BROWNFIELD MODIFICATIONS TO DP,PCP,WP,IP",,MAO-011269,600,,AFA-003650,,,NO,,Avsluttet,2009-04-28T14:26:54,,2009-06-26T00:00:00,Ikke kritisk (utføres sammen med planlagt vedlikehold),Utstyrs nedstenging,0,,MOD - Corrective,2010-02-06T15:14:08,MOD,,,"VALHALL WP, OTL-M",,,0,VAL,Valhall plattform,NO,,,,NO,COR,,,NOTACTIVE,78,"VAL,B00",No need,NO,YES,2010-02-06T15:14:08,0,Prosjekt,100,,,NO,NO,No need
1240928819000,1263160602000.0,Workorder,VAL,akerbp-cdp,WMT:VAL,akerbp-cdp,6423573028988603,INSTALLASJON - H05 SPOOL ***-PV-***-*** MC: ***-***,***-INSTALLASJON - H05 SPOOL ***-PV-***-*** MC: ***,"INSTALLATION OF THE VRD BROWNFIELD MODIFICATIONS TO DP,PCP,WP,IP",,MAO-011270,600,,AFA-003650,,,NO,,Avsluttet,2009-04-28T14:26:59,,2009-06-26T00:00:00,Ikke kritisk (utføres sammen med planlagt vedlikehold),Utstyrs nedstenging,0,,MOD - Corrective,2010-01-10T21:56:42,MOD,,,"VALHALL WP, OTL-M",,,0,VAL,Valhall plattform,NO,,,,NO,COR,,,NOTACTIVE,75,"VAL,B00",No need,NO,YES,2010-01-10T21:56:42,0,Prosjekt,100,,,NO,NO,No need
1240929081000,1436437374000.0,Workorder,VAL,akerbp-cdp,WMT:VAL,akerbp-cdp,4728480983947967,INSTALLASJON - H05 SPOOL ***-***-***-*** MC: ***-***,***-INSTALLASJON - H05 SPOOL ***-***-***-*** MC: ***,"INSTALLATION OF THE VRD BROWNFIELD MODIFICATIONS TO DP,PCP,WP,IP",,MAO-011271,600,,AFA-003650,,,NO,,Avsluttet,2009-04-28T14:31:21,,2009-06-26T00:00:00,Ikke kritisk (utføres sammen med planlagt vedlikehold),Utstyrs nedstenging,0,,MOD - Corrective,2015-07-09T10:22:54,MOD,,,"VALHALL WP, OTL-M",,,0,VAL,Valhall plattform,NO,,,,NO,COR,,,NOTACTIVE,62,"VAL,B00",No need,NO,YES,2015-07-09T10:22:54,0,Prosjekt,100,,,NO,NO,No need
1240929084000,1260830856000.0,Workorder,VAL,akerbp-cdp,WMT:VAL,akerbp-cdp,2367857689394468,INSTALLASJON - H05 SPOOL ***-VF-***-*** MC: ***-***,***-INSTALLASJON - H05 SPOOL ***-VF-***-*** MC: ***,"INSTALLATION OF THE VRD BROWNFIELD MODIFICATIONS TO DP,PCP,WP,IP",,MAO-011272,600,,AFA-003650,,,NO,,Avsluttet,2009-04-28T14:31:24,,2009-06-26T00:00:00,Ikke kritisk (utføres sammen med planlagt vedlikehold),Utstyrs nedstenging,0,,MOD - Corrective,2009-12-14T22:47:36,MOD,,260,"VALHALL WP, OTL-M",,,0,VAL,Valhall plattform,NO,,,,NO,COR,,,NOTACTIVE,62,"VAL,B00",No need,NO,YES,2009-12-14T22:47:36,0,Prosjekt,100,,,NO,NO,No need
1240929086000,1265469197000.0,Workorder,VAL,akerbp-cdp,WMT:VAL,akerbp-cdp,3740849576812984,INSTALLASJON - H05 SPOOL ***-***-***-*** MC: ***-***,***-INSTALLASJON - H05 SPOOL ***-***-***-*** MC: ***,"INSTALLATION OF THE VRD BROWNFIELD MODIFICATIONS TO DP,PCP,WP,IP",,MAO-011273,600,,AFA-003650,,,NO,,Avsluttet,2009-04-28T14:31:26,,2009-06-26T00:00:00,Ikke kritisk (utføres sammen med planlagt vedlikehold),Utstyrs nedstenging,0,,MOD - Corrective,2010-02-06T15:13:17,MOD,,,"VALHALL WP, OTL-M",,,0,VAL,Valhall plattform,NO,,,,NO,COR,,,NOTACTIVE,32,"VAL,B00",No need,NO,YES,2010-02-06T15:13:17,0,Prosjekt,100,,,NO,NO,No need
1255445417000,1352678400000.0,Workorder,VAL,akerbp-cdp,WMT:VAL,akerbp-cdp,6359662473357005,*** - *** *** ON *** WATER - *** *** ***/***,***-*** - *** *** ON *** WATER,,,KAO-072951,900,,,2012-11-12T00:00:00,,NO,,Kansellert,2009-10-13T14:50:17,,2012-05-17T07:00:00,Ikke kritisk (utføres sammen med planlagt vedlikehold),Utstyrs nedstenging,0,,MAI - Corrective,,MAI,,,,***,Virker ikke på signal,0,VAL,Valhall plattform,NO,,,,NO,COR,,,NOTACTIVE,207,"VAL,B00",No need,YES,NO,2012-07-02T09:13:52,207,Prosjekt,0,,,NO,NO,No need
