"key","isCompleted","plannedStart","externalId","isSafetyCritical","workPackageNumber","endTime","status","durationHours","workOrderNumber","title","percentageProgress","startTime","actualHours","description","isCancelled","isActive","priorityDescription","dueDate","createdDate","programNumber"
"FAO-082256","false","2013-06-01T00:00:00","FAO-082256","NO","WPG-005706","1372550400000","900","0","FAO-082256","<PH> CMR FOR BP FOR ON-OFF VALVES (*** month)","0","1370070000000","","ONSHORE JOB - Condition Monitoring Program (CMP) for BP for on-off valves ","true","false","Ikke kritisk (utføres sammen med planlagt vedlikehold)","2013-06-30T00:00:00","2013-03-26T18:09:09","PM-016460"
"FAO-083564","false","2013-09-01T00:00:00","FAO-083564","NO","WPG-005709","1380499200000","900","0","FAO-083564","<PH> CMR FOR SKF (*** month)","0","1378018800000","","ONSHORE JOB - Condition Monitoring Program (CMP) for SKF for Oil Analysis and SW Pumps Vibration ","true","false","Ikke kritisk (utføres sammen med planlagt vedlikehold)","2013-09-30T00:00:00","2013-05-10T13:43:04","PM-016456"
"FAO-084196","true","2013-07-18T00:00:00","FAO-084196","NO","WPG-005376","1375347765000","600","0","FAO-084196","<PH> VEDLIKEHOLD AV MOTOR PURGE UNIT OLJE ***  (*** ***","100","1375340400000","3","Vedlikehold av motor purge unit olje ***  ","false","false","Ikke kritisk (utføres sammen med planlagt vedlikehold)","2013-08-16T00:00:00","2013-06-05T19:45:23","PM-016869"
"FAO-084862","false","2013-09-01T00:00:00","FAO-084862","NO","WPG-005709","1380499200000","900","0","FAO-084862","<PH> CMR FOR BP FOR ON-OFF VALVES (*** month)","0","1378018800000","","ONSHORE JOB - Condition Monitoring Program (CMP) for BP for on-off valves ","true","false","Ikke kritisk (utføres sammen med planlagt vedlikehold)","2013-09-30T00:00:00","2013-07-14T22:39:43","PM-016460"
"FAO-085028","true","2013-09-19T00:00:00","FAO-085028","NO","WPG-005381","1381030588000","600","0","FAO-085028","<PH> VEDLIKEHOLD AV BLOW DOWN VENTILER (*** month)","100","1380783600000","22","Vedlikehold av Blow Down ventiler ","false","false","Ikke kritisk (utføres sammen med planlagt vedlikehold)","2013-10-18T00:00:00","2013-07-14T23:15:08","PM-013901"
"FAO-085048","false","2013-10-01T00:00:00","FAO-085048","NO","WPG-005710","1383091200000","900","0","FAO-085048","<PH> CMR FOR GE BN SYSTEM *** AND TRENDMASTER (*** month)","0","1380783600000","","ONSHORE JOB - Condition Monitoring Program (CMP) for GE for rotating equipment (BN System1 and TredmasterPro.) ","true","false","Ikke kritisk (utføres sammen med planlagt vedlikehold)","2013-10-30T00:00:00","2013-07-14T23:15:23","PM-016440"
"FAO-086040","false","2013-11-01T00:00:00","FAO-086040","NO","WPG-005711","1385769600000","900","0","FAO-086040","<PH> CMR FOR SCORE FOR ***-MAP (*** month)","0","1384412400000","","ONSHORE JOB - Condition Monitoring Program (CMP) for SCORE for Critical ESD Valves & Actuators (***-MAP) ","true","false","Ikke kritisk (utføres sammen med planlagt vedlikehold)","2013-11-30T00:00:00","2013-09-04T12:55:53","PM-016450"
"FAO-086042","true","2013-11-01T00:00:00","FAO-086042","NO","WPG-005711","1385390171000","600","0","FAO-086042","<PH> CMR FOR BP FOR ROTATING EQUIPMENT (*** month)","100","1384412400000","79","ONSHORE JOB - Condition Monitoring Program (CMP) for BP for rotating equipment ","false","false","Ikke kritisk (utføres sammen med planlagt vedlikehold)","2013-11-30T00:00:00","2013-09-04T12:55:56","PM-016459"
"FAO-086054","true","2013-12-01T00:00:00","FAO-086054","NO","WPG-005712","1387356952000","600","0","FAO-086054","<PH> CMR FOR BP FOR ON-OFF VALVES (*** month)","100","1385881200000","","ONSHORE JOB - Condition Monitoring Program (CMP) for BP for on-off valves ","false","false","Ikke kritisk (utføres sammen med planlagt vedlikehold)","2013-12-30T00:00:00","2013-09-04T12:57:40","PM-016460"
"FAO-087558","true","2014-08-05T00:00:00","FAO-087558","NO","WPG-006589","1410386877000","600","0","FAO-087558","SD-***: ***. AV SIKKERHETSKRITISK INSTRUMENTERING *** *** (***) ","100","1410418800000","22","Vedlikehold av sikkerhetskritisk instrumentering System *** ","false","false","Ikke kritisk (utføres sammen med planlagt vedlikehold)","2014-10-03T00:00:00","2013-10-31T09:40:14","PM-016645"
"FAO-087623","false","2014-02-01T00:00:00","FAO-087623","NO","WPG-006457","1393718400000","900","0","FAO-087623","<PH> CMR FOR BP FOR CONTROL VALVES (*** month)","0","1391238000000","","ONSHORE JOB - Condition Monitoring Program (CMP) for BP Engineering for Control Valves (***) ","true","false","Ikke kritisk (utføres sammen med planlagt vedlikehold)","2014-03-02T00:00:00","2013-11-11T14:10:05","PM-016617"
"FAO-087990","true","2014-04-17T00:00:00","FAO-087990","NO","WPG-006271","1400401204000","600","0","FAO-087990","<PH> FUNKSJONSTEST AV ESDV VENTIL (*** month)","100","1400137200000","7","Funksjonstest av ESDV ventil ","false","false","Ikke kritisk (utføres sammen med planlagt vedlikehold)","2014-06-15T00:00:00","2013-11-14T10:49:14","PM-014064"
"FAO-091015","false","2014-06-01T00:00:00","FAO-091015","NO","WPG-006457","1404086400000","900","0","FAO-091015","<PH> CMR FOR BP FOR CONTROL VALVES (*** month)","0","1401606000000","","ONSHORE JOB - Condition Monitoring Program (CMP) for BP Engineering for Control Valves (***) ","true","false","Ikke kritisk (utføres sammen med planlagt vedlikehold)","2014-06-30T00:00:00","2014-01-27T13:34:13","PM-016617"
"FAO-091112","true","2014-03-01T00:00:00","FAO-091112","NO","WPG-006457","1395390052000","600","0","FAO-091112","<PH> CMR FOR SCORE FOR ***-MAP (*** month)","100","1393657200000","","ONSHORE JOB - Condition Monitoring Program (CMP) for SCORE for Critical ESD Valves & Actuators (***-MAP) ","false","false","Ikke kritisk (utføres sammen med planlagt vedlikehold)","2014-03-30T00:00:00","2014-01-31T11:48:32","PM-016450"
"FAO-091117","false","2014-02-01T00:00:00","FAO-091117","NO","WPG-006457","1393718400000","900","0","FAO-091117","<PH> CMR FOR SKF (*** month)","0","1391238000000","","ONSHORE JOB - Condition Monitoring Program (CMP) for SKF for Oil Analysis and SW Pumps Vibration ","true","false","Ikke kritisk (utføres sammen med planlagt vedlikehold)","2014-03-02T00:00:00","2014-01-31T11:48:32","PM-016456"
"FAO-091126","false","2014-05-01T00:00:00","FAO-091126","NO","WPG-006457","1401408000000","900","0","FAO-091126","<PH> CMR FOR BP FOR ROTATING EQUIPMENT (*** month)","0","1398927600000","","ONSHORE JOB - Condition Monitoring Program (CMP) for BP for rotating equipment ","true","false","Ikke kritisk (utføres sammen med planlagt vedlikehold)","2014-05-30T00:00:00","2014-01-31T11:48:33","PM-016459"
"FAO-092457","true","2014-06-26T00:00:00","FAO-092457","NO","WPG-006274","1403804693000","600","0","FAO-092457","<PH> SMØREOLJEPRØVE KOMPRESSORER  (*** month)","100","1403766000000","18","Smøreoljeprøve kompressorer  ","false","false","Ikke kritisk (utføres sammen med planlagt vedlikehold)","2014-07-25T00:00:00","2014-03-06T13:25:18","PM-014055"
"FAO-093534","true","2014-07-01T00:00:00","FAO-093534","NO","WPG-006457","1406112451000","600","0","FAO-093534","<PH> CMR FOR SCORE FOR ***-MAP (*** month)","100","1404198000000","102","ONSHORE JOB - Condition Monitoring Program (CMP) for SCORE for Critical ESD Valves & Actuators (***-MAP) ","false","false","Ikke kritisk (utføres sammen med planlagt vedlikehold)","2014-07-30T00:00:00","2014-03-25T09:54:29","PM-016450"
"FAO-093568","true","2014-07-01T00:00:00","FAO-093568","NO","WPG-006274","1403838492000","600","0","FAO-093568","<PH> ***. VENT./*** FOR KOMPRESSOR ***-KA-*** (*** month","100","1404198000000","8","Vedlikehold ***-/*** for kompressor ***-KA-*** ","false","false","Ikke kritisk (utføres sammen med planlagt vedlikehold)","2014-07-30T00:00:00","2014-03-26T09:26:40","PM-012508"
"FAO-094659","true","2014-09-03T00:00:00","FAO-094659","NO","WPG-006284","1416063931000","600","0","FAO-094659","<PH> VEDLIKEHOLD AV *** *** (*** month)","100","1415862000000","56","Vedlikehold av *** *** ","false","false","Ikke kritisk (utføres sammen med planlagt vedlikehold)","2014-12-01T00:00:00","2014-05-21T09:27:46","PM-014929"
"FAO-094681","true","2014-08-01T00:00:00","FAO-094681","NO","WPG-006457","1409320147000","600","0","FAO-094681","<PH> CMR FOR GE BN SYSTEM *** AND TRENDMASTER (*** month)","100","1406876400000","42","ONSHORE JOB - Condition Monitoring Program (CMP) for GE for rotating equipment (BN System1 and TredmasterPro.) ","false","false","Ikke kritisk (utføres sammen med planlagt vedlikehold)","2014-08-30T00:00:00","2014-05-26T08:58:07","PM-016440"
"FAO-095467","false","2014-10-01T00:00:00","FAO-095467","NO","WPG-006457","1414627200000","900","0","FAO-095467","<PH> CMR FOR UNITECH FOR *** SYSTEM (*** month)","0","1412146800000","","ONSHORE JOB - Condition Monitoring Program (CPM) for Unitech, for ***- surveillanced equipment. ","true","false","Ikke kritisk (utføres sammen med planlagt vedlikehold)","2014-10-30T00:00:00","2014-06-13T21:42:15","PM-016815"
"FAO-095481","true","2014-09-01T00:00:00","FAO-095481","NO","WPG-006457","1411032259000","600","0","FAO-095481","<PH> CMR FOR SCORE FOR ***-MAP (*** month)","100","1409554800000","63","ONSHORE JOB - Condition Monitoring Program (CMP) for SCORE for Critical ESD Valves & Actuators (***-MAP) ","false","false","Ikke kritisk (utføres sammen med planlagt vedlikehold)","2014-09-30T00:00:00","2014-06-13T21:43:26","PM-016450"
"FAO-098260","true","2015-08-06T00:00:00","FAO-098260","NO","WPG-006866","1436117281000","600","0","FAO-098260","SD-***.***. VANNTÅKEANLEGG FOR KOMPRESSOR ***-KA-*** (*** ***","100","1438844400000","30","Vedlikehold vanntåkeanlegg for kompressor ***-KA-*** ","false","false","Ikke kritisk (utføres sammen med planlagt vedlikehold)","2015-10-04T00:00:00","2014-10-17T08:56:37","PM-012607"
"FAO-099903","true","2015-02-01T00:00:00","FAO-099903","NO","WPG-007230","1423234937000","600","0","FAO-099903","<PH> CMR FOR GE BN SYSTEM *** AND TRENDMASTER (*** month)","100","1422774000000","42","ONSHORE JOB - Condition Monitoring Program (CMP) for GE for rotating equipment (BN System1 and TredmasterPro.) ","false","false","Ikke kritisk (utføres sammen med planlagt vedlikehold)","2015-03-02T00:00:00","2014-11-13T21:53:59","PM-016440"
"FAO-099904","true","2015-03-01T00:00:00","FAO-099904","NO","WPG-007230","1425904774000","600","0","FAO-099904","<PH> CMR FOR GE BN SYSTEM *** AND TRENDMASTER (*** month)","100","1425193200000","","ONSHORE JOB - Condition Monitoring Program (CMP) for GE for rotating equipment (BN System1 and TredmasterPro.) ","false","false","Ikke kritisk (utføres sammen med planlagt vedlikehold)","2015-03-30T00:00:00","2014-11-13T21:53:59","PM-016440"
"FAO-100256","true","2015-01-18T00:00:00","FAO-100256","NO","WPG-006683","1421828231000","600","0","FAO-100256","<PH> VEDLIKEHOLD AV MOTOR PURGE UNIT OLJE ***  (*** mon","100","1421564400000","2","Vedlikehold av motor purge unit olje ***  ","false","false","Ikke kritisk (utføres sammen med planlagt vedlikehold)","2015-04-17T00:00:00","2014-11-14T21:38:17","PM-016869"
"FAO-103377","true","2015-08-01T00:00:00","FAO-103377","NO","WPG-007230","1439213748000","600","0","FAO-103377","<PH> CMR FOR GE BN SYSTEM *** AND TRENDMASTER (*** month)","100","1438412400000","","ONSHORE JOB - Condition Monitoring Program (CMP) for GE for rotating equipment (BN System1 and TredmasterPro.) ","false","false","Ikke kritisk (utføres sammen med planlagt vedlikehold)","2015-08-30T00:00:00","2015-03-25T10:01:14","PM-016440"
"FAO-103380","true","2015-07-01T00:00:00","FAO-103380","NO","WPG-007230","1437152139000","600","0","FAO-103380","<PH> CMR FOR ***-MAP, ON-OFF VALVES  (*** month)","100","1435734000000","","ONSHORE JOB - Condition Monitoring Program (CMP) for SCORE for Critical ESD Valves & Actuators (***-MAP) ","false","false","Ikke kritisk (utføres sammen med planlagt vedlikehold)","2015-07-30T00:00:00","2015-03-25T10:01:15","PM-016450"
"FAO-103394","false","2015-09-01T00:00:00","FAO-103394","NO","WPG-007230","1443571200000","900","0","FAO-103394","<PH> CMR FOR *** FOR CONTROL VALVES (***) (*** month)","0","1441090800000","","ONSHORE JOB - Condition Monitoring Program (CMP) for *** for Control Valves (***) ","true","false","Ikke kritisk (utføres sammen med planlagt vedlikehold)","2015-09-30T00:00:00","2015-03-25T10:01:17","PM-016626"
"FAO-105891","true","2016-07-01T00:00:00","FAO-105891","NO","WPG-006162","1466072438000","600","0","FAO-105891","SD-***. VEDLIKEHOLD ELEKTRO KOMPRESSOR ***-KA-*** (*** MONTH)","100","1466060400000","55","Vedlikehold elektro kompressor ***-KA-*** ETTERSYN AV ***/*** FOR *** OG *** FOR KOMPRESSOR: TAG ***-KA-*** ","false","false","Ikke kritisk (utføres sammen med planlagt vedlikehold)","2016-09-28T00:00:00","2015-06-25T08:45:23","PM-011153"
"FAO-106578","true","2015-10-01T00:00:00","FAO-106578","NO","WPG-006702","1443829436000","600","0","FAO-106578","<PH> ***. VENT./*** FOR KOMPRESSOR ***-KA-*** (*** month","100","1443682800000","6","Vedlikehold ***-/*** for kompressor ***-KA-*** ","false","false","Ikke kritisk (utføres sammen med planlagt vedlikehold)","2015-10-30T00:00:00","2015-06-26T12:42:22","PM-012508"
"FAO-109512","true","2016-01-01T00:00:00","FAO-109512","NO","WPG-007761","1452713031000","600","0","FAO-109512","<PH> CMR FOR GE BN SYSTEM *** AND TRENDMASTER (*** month)","100","1451631600000","","ONSHORE JOB - Condition Monitoring Program (CMP) for GE for rotating equipment (BN System1 and TredmasterPro.) ","false","false","Ikke kritisk (utføres sammen med planlagt vedlikehold)","2016-01-30T00:00:00","2015-10-23T13:02:15","PM-016440"
"FAO-109518","false","2016-02-01T00:00:00","FAO-109518","NO","WPG-007761","1456790400000","900","0","FAO-109518","<PH> CMR FOR *** OF SIL *** INSTR. AND SIS (*** month)","0","1454310000000","","ONSHORE JOB - CM program for monitoring of BPCS loops credited in ***. ***-VPH-CM-*** - CMR for BP Engineering BPCS Loops","true","false","Ikke kritisk (utføres sammen med planlagt vedlikehold)","2016-03-01T00:00:00","2015-10-23T13:02:16","PM-016682"
"FAO-110241","true","2016-01-01T00:00:00","FAO-110241","NO","WPG-006802","1453189502000","600","0","FAO-110241","<PH> ***. VENT./*** FOR KOMPRESSOR ***-KA-*** (*** ***","100","1452754800000","21","Vedlikehold ***-/*** for kompressor ***-KA-*** ","false","false","Ikke kritisk (utføres sammen med planlagt vedlikehold)","2016-02-29T00:00:00","2015-11-03T17:08:20","PM-012508"
"FAO-110314","true","2016-01-07T00:00:00","FAO-110314","NO","WPG-006805","1454876954000","600","0","FAO-110314","PH(***)- *** AV INTERLOCK VENTILER (*** month)","100","1454569200000","14","Inspeksjon av forriglinger og låste ventiler -PH ","false","false","Ikke kritisk (utføres sammen med planlagt vedlikehold)","2016-03-06T00:00:00","2015-11-03T17:19:49","PM-019522"
"FAO-115096","true","2016-07-01T00:00:00","FAO-115096","NO","WPG-007761","1469794736000","600","0","FAO-115096","<PH> CMR FOR ***-MAP, ON-OFF VALVES  (*** month)","100","1467356400000","","ONSHORE JOB - Condition Monitoring Program (CMP) for SCORE for Critical ESD Valves & Actuators (***-MAP) ","false","false","Ikke kritisk (utføres sammen med planlagt vedlikehold)","2016-07-30T00:00:00","2016-04-01T09:15:14","PM-016450"
"FAO-115976","false","2016-07-01T00:00:00","FAO-115976","NO","","1472428800000","900","0","FAO-115976","<PH> ETTERSYN AV *** (FLAME ***) (*** month)","0","1470294000000","","Ettersyn av *** (flame ***) Ettersyn av *** (flame ***)","true","false","Ikke kritisk (utføres sammen med planlagt vedlikehold)","2016-08-29T00:00:00","2016-04-01T10:53:00","PM-011216"
"FAO-119616","true","2016-11-27T00:00:00","FAO-119616","NO","WPG-007761","1480415457000","600","0","FAO-119616","REVIEW OF SIS LOP CONTROLLERS PERFORMANCE (*** month)","100","1480230000000","5","Performance review of IPL BPCS control loops credited in *** ","false","false","Ikke kritisk (utføres sammen med planlagt vedlikehold)","2016-12-26T00:00:00","2016-08-19T10:54:09","PM-019771"
"FAO-120796","true","2017-02-01T00:00:00","FAO-120796","NO","WPG-008421","1486474968000","600","0","FAO-120796","<PH> CMR FOR GE BN SYSTEM *** AND TRENDMASTER (*** month)","100","1485932400000","","ONSHORE JOB - Condition Monitoring Program (CMP) for GE for rotating equipment (BN System1 and TredmasterPro.) ","false","false","Ikke kritisk (utføres sammen med planlagt vedlikehold)","2017-03-02T00:00:00","2016-10-11T10:04:33","PM-016440"
"FAO-120803","false","2017-02-27T00:00:00","FAO-120803","NO","WPG-008421","1490659200000","900","0","FAO-120803","REVIEW OF SIS LOP CONTROLLERS PERFORMANCE (*** month)","0","1509001200000","","Performance review of IPL BPCS control loops credited in *** ","true","false","Kan føre til produksjonsstans (utføres innen *** dager)","2017-03-28T00:00:00","2016-10-11T10:04:34","PM-019771"
"FAO-121013","true","2017-01-26T00:00:00","FAO-121013","NO","WPG-008303","1485926393000","600","0","FAO-121013","<PH> VEDLIKEHOLD AV SEAL GASS KOMPRESSOR FOR ***-KA-*** (*** mon","100","1485414000000","4","Vedlikehold av seal gass ***. for gass kompressor ***-KA-*** ","false","false","Ikke kritisk (utføres sammen med planlagt vedlikehold)","2017-03-26T00:00:00","2016-10-11T20:39:45","PM-012424"
"FAO-121017","true","2017-01-26T00:00:00","FAO-121017","NO","WPG-008304","1486736326000","600","0","FAO-121017","<PH> FUNKSJONSTEST AV ESDV VENTIL (*** month)","100","1486623600000","6","Funksjonstest av ESDV ventil ","false","false","Ikke kritisk (utføres sammen med planlagt vedlikehold)","2017-03-26T00:00:00","2016-10-11T20:39:45","PM-014062"
"FAO-123529","true","2017-03-01T00:00:00","FAO-123529","NO","WPG-008421","1489163672000","600","0","FAO-123529","<PH> CMR FOR UNITECH FOR *** SYSTEM (*** month)","100","1488351600000","","ONSHORE JOB - Condition Monitoring Program (CPM) for Unitech, for ***- surveillanced equipment. ","false","false","Ikke kritisk (utføres sammen med planlagt vedlikehold)","2017-03-30T00:00:00","2016-12-22T13:04:13","PM-016815"
"FAO-123782","true","2017-04-01T00:00:00","FAO-123782","NO","WPG-008421","1491837742000","600","0","FAO-123782","<PH> CMR FOR UNITECH FOR *** SYSTEM (*** month)","100","1491030000000","","ONSHORE JOB - Condition Monitoring Program (CPM) for Unitech, for ***- surveillanced equipment. ","false","false","Ikke kritisk (utføres sammen med planlagt vedlikehold)","2017-04-30T00:00:00","2016-12-22T14:10:31","PM-016815"
"FAO-124265","true","2017-04-28T00:00:00","FAO-124265","NO","WPG-008310","1493954854000","600","0","FAO-124265","PH(***)- *** AV INTERLOCK VENTILER (*** month)","100","1493881200000","","Inspeksjon av forriglinger og låste ventiler -PH ","false","false","Ikke kritisk (utføres sammen med planlagt vedlikehold)","2017-06-26T00:00:00","2017-01-23T12:18:32","PM-019530"
"FAO-127816","true","2017-07-20T00:00:00","FAO-127816","NO","WPG-008421","1501070392000","600","0","FAO-127816","<PH> CMR FOR SKF (*** month)","100","1500534000000","","ONSHORE JOB - Condition Monitoring Program (CMP) for SKF for Oil Analysis and SW Pumps Vibration ","false","false","Ikke kritisk (utføres sammen med planlagt vedlikehold)","2017-08-18T00:00:00","2017-05-04T09:36:54","PM-016456"
"FAO-127822","true","2017-09-01T00:00:00","FAO-127822","NO","WPG-008421","1504890962000","600","null","FAO-127822","<PH> CMR FOR UNITECH FOR *** SYSTEM (*** month)","null","1504249200000","null","null","false","false","Ikke kritisk (utføres sammen med planlagt vedlikehold)","2017-09-30T00:00:00","2017-05-04T09:37:30","PM-016815"
"FAO-128716","false","2017-10-20T00:00:00","FAO-128716","NO","WPG-008421","null","900","null","FAO-128716","<PH> CMR FOR SKF (*** month)","null","1509001200000","null","null","false","false","Ikke kritisk (utføres sammen med planlagt vedlikehold)","2017-11-18T00:00:00","2017-06-23T13:41:54","PM-016456"
"FAO-135269","false","2018-05-27T00:00:00","FAO-135269","NO","WPG-009131","1529884800000","900","0","FAO-135269","REVIEW OF SIS LOP CONTROLLERS PERFORMANCE (*** month)","0","1527404400000","","Performance review of IPL BPCS control loops credited in *** ","true","false","Kan føre til produksjonsstans (utføres innen *** dager)","2018-06-25T00:00:00","2018-01-24T08:45:22","PM-019771"
"FAO-135697","true","2018-04-01T00:00:00","FAO-135697","NO","WPG-008343","1528829846000","600","0","FAO-135697","<PH> *** - *** - *** *** (*** month)","100","1528354800000","21","Vedlikehold av ***-/*** for kompressor ***-KA-*** ","false","false","Ikke kritisk (utføres sammen med planlagt vedlikehold)","2018-06-29T00:00:00","2018-02-01T09:21:35","PM-012508"
"FAO-137430","true","2018-07-01T00:00:00","FAO-137430","NO","WPG-009131","1537439976000","600","0","FAO-137430","<PH> CMR FOR GE BN SYSTEM *** AND TRENDMASTER (*** month)","100","1530428400000","","ONSHORE JOB - Condition Monitoring Program (CMP) for GE for rotating equipment (BN System1 and TredmasterPro.) ","false","false","Kan føre til produksjonsstans (utføres innen *** dager)","2018-07-30T00:00:00","2018-04-04T09:02:02","PM-016440"
"FAO-137437","true","2018-07-01T00:00:00","FAO-137437","NO","WPG-008346","1532776187000","600","0","FAO-137437","MEKANISK SJEKK OG INSPEKSJON AV *** VENTILER T33,T34 (*** ***","100","1532588400000","14","MEKANISK SJEKK AV *** VENTILER T33, T34. INSPEKSJON AV *** ESDV (*** ***) ","false","false","Ikke kritisk (utføres sammen med planlagt vedlikehold)","2018-09-28T00:00:00","2018-04-04T09:02:02","PM-018781"
"FAO-139624","true","2018-10-01T00:00:00","FAO-139624","NO","WPG-009131","1541947407000","600","0","FAO-139624","<PH> CMR FOR GE BN SYSTEM *** AND TRENDMASTER (*** month)","100","1538377200000","","ONSHORE JOB - Condition Monitoring Program (CMP) for GE for rotating equipment (BN System1 and TredmasterPro.) ","false","false","Kan føre til produksjonsstans (utføres innen *** dager)","2018-10-30T00:00:00","2018-06-18T08:46:19","PM-016440"
"FAO-139629","false","2018-08-27T00:00:00","FAO-139629","NO","WPG-009131","1537833600000","900","0","FAO-139629","REVIEW OF SIS LOP CONTROLLERS PERFORMANCE (*** month)","0","1535353200000","","Performance review of IPL BPCS control loops credited in *** ","true","false","Kan føre til produksjonsstans (utføres innen *** dager)","2018-09-25T00:00:00","2018-06-18T08:46:20","PM-019771"
"FAO-140755","true","2018-09-01T00:00:00","FAO-140755","NO","WPG-008349","1536122007000","600","0","FAO-140755","DRENERING AV LUBE OIL ***,***,*** OG *** TRINN KOMPRESSOR SEAL (*** month","100","1535785200000","0","Drenering av lube oil ***,***,*** og *** trinn kompressor seal.  Drenering av lube oil kompressorer ***,***,*** og *** trinn","false","false","Ikke kritisk (utføres sammen med planlagt vedlikehold)","2018-09-30T00:00:00","2018-08-13T10:14:19","PM-021671"
"FAO-143726","true","2019-01-07T00:00:00","FAO-143726","NO","WPG-009701","1546142469000","600","0","FAO-143726","PH(***)- *** AV INTERLOCK VENTILER (*** month)","100","1546844400000","7","Inspeksjon av forriglinger og låste ventiler -PH ","false","false","Ikke kritisk (utføres sammen med planlagt vedlikehold)","2019-03-07T00:00:00","2018-11-05T12:26:40","PM-019522"
"FAO-144782","true","2019-01-01T00:00:00","FAO-144782","NO","WPG-009220","1547823603000","600","0","FAO-144782","<PH> CMR FOR UNITECH FOR *** SYSTEM (*** month)","100","1546326000000","","ONSHORE JOB - Condition Monitoring Program (CPM) for Unitech, for ***- surveillanced equipment. ","false","false","Ikke kritisk (utføres sammen med planlagt vedlikehold)","2019-01-30T00:00:00","2018-11-20T12:43:29","PM-016815"
